epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,867.305,0.51412,1.00653,0.14129,0.31362,0.90235,0.98746,0.97103,0.98751,0.83166,0.96483,0.93834,0.95127,0.7488,0.6556,1.23839,0.12848,0.30886,0.79136,0.000339125,0.000339125,0.000339125
28,899.348,0.51435,0.98463,0.14341,0.31611,0.90121,0.98584,0.97122,0.98816,0.84808,0.98057,0.94039,0.95823,0.77891,0.59609,1.13774,0.12737,0.29419,0.77766,0.000332938,0.000332938,0.000332938
29,931.526,0.51433,0.99181,0.14468,0.31545,0.90597,0.98754,0.96403,0.98841,0.83542,0.98059,0.93452,0.95882,0.77152,0.6348,1.15554,0.12901,0.30738,0.78706,0.00032675,0.00032675,0.00032675
30,963.737,0.50721,0.97145,0.14254,0.31332,0.89964,0.9866,0.97431,0.98893,0.79685,0.97858,0.93895,0.95614,0.7678,0.76912,1.14171,0.12639,0.32437,0.81401,0.000320562,0.000320562,0.000320562
31,995.965,0.50825,0.98957,0.14354,0.31018,0.89965,0.98435,0.96947,0.98783,0.83112,0.95394,0.9147,0.91402,0.72858,0.63819,1.34572,0.13162,0.29368,0.78527,0.000314375,0.000314375,0.000314375
32,1028.17,0.49966,0.94934,0.14101,0.30573,0.90104,0.98747,0.9723,0.98925,0.84492,0.97638,0.93482,0.95755,0.7606,0.60447,1.16459,0.12147,0.29284,0.77994,0.000308188,0.000308188,0.000308188
33,1060.52,0.50574,0.96272,0.14107,0.31198,0.90308,0.98142,0.97699,0.99034,0.83521,0.98061,0.93572,0.96045,0.79118,0.64628,1.10346,0.12284,0.29229,0.79184,0.000302,0.000302,0.000302
34,1092.67,0.50214,0.93451,0.14066,0.3045,0.90055,0.97896,0.97636,0.99012,0.84668,0.97472,0.93628,0.95806,0.76664,0.60497,1.20061,0.12465,0.29671,0.77701,0.000295813,0.000295813,0.000295813
35,1124.84,0.48735,0.91518,0.13827,0.30088,0.89462,0.98442,0.97384,0.98942,0.83042,0.97495,0.93936,0.95782,0.78164,0.65118,1.16451,0.12591,0.30824,0.79219,0.000289625,0.000289625,0.000289625
36,1157.74,0.48933,0.90418,0.13696,0.30058,0.89409,0.99148,0.96814,0.98774,0.82999,0.97136,0.93217,0.94131,0.76078,0.64186,1.18732,0.13028,0.29698,0.78324,0.000283437,0.000283437,0.000283437
37,1191.04,0.49535,0.94206,0.14048,0.30337,0.8947,0.97729,0.97294,0.98854,0.86555,0.96907,0.93376,0.94753,0.77472,0.55808,1.11024,0.12522,0.2792,0.77266,0.00027725,0.00027725,0.00027725
38,1223.57,0.48844,0.90734,0.1391,0.29864,0.896,0.99499,0.96608,0.98827,0.85552,0.97406,0.94245,0.95952,0.77555,0.58277,1.11687,0.12324,0.28727,0.77405,0.000271062,0.000271062,0.000271062
39,1256.07,0.4862,0.8974,0.13665,0.29824,0.89311,0.98846,0.96843,0.98887,0.86463,0.97538,0.93644,0.95556,0.77909,0.54755,1.12476,0.12539,0.26999,0.77047,0.000264875,0.000264875,0.000264875
40,1289.07,0.48358,0.86213,0.13387,0.29302,0.88646,0.98134,0.97225,0.99163,0.84876,0.97111,0.93275,0.95442,0.78155,0.60542,1.15957,0.12028,0.28307,0.78013,0.000258687,0.000258687,0.000258687
