epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,387.222,0.47331,0.90571,0.13185,0.29642,0.88519,0.98948,0.96659,0.9882,0.85055,0.98054,0.94553,0.96118,0.77659,0.5826,1.15482,0.13333,0.30266,0.77966,0.000422214,0.000422214,0.000422214
13,415.633,0.46704,0.89761,0.13007,0.29367,0.88291,0.98538,0.97001,0.98815,0.87342,0.9733,0.93674,0.95686,0.75392,0.5187,1.21398,0.12486,0.27665,0.77047,0.000415143,0.000415143,0.000415143
14,443.859,0.47071,0.88052,0.13366,0.29306,0.88554,0.99471,0.95786,0.98876,0.87562,0.98286,0.94286,0.96358,0.78443,0.5388,1.11475,0.12621,0.27892,0.76695,0.000408071,0.000408071,0.000408071
15,472.076,0.47893,0.90382,0.13249,0.29751,0.88799,0.97845,0.97987,0.99114,0.87078,0.9724,0.94152,0.95651,0.76758,0.55408,1.14918,0.11977,0.28691,0.76775,0.000401,0.000401,0.000401
16,500.536,0.46221,0.86567,0.12834,0.2885,0.88189,0.99058,0.97254,0.98999,0.86137,0.97304,0.93936,0.95973,0.77193,0.57589,1.16466,0.12376,0.28248,0.76929,0.000393929,0.000393929,0.000393929
17,528.8,0.46201,0.91305,0.13017,0.29177,0.88174,0.98787,0.96197,0.98797,0.85884,0.96656,0.93011,0.94733,0.7473,0.58302,1.23304,0.12886,0.28764,0.77085,0.000386857,0.000386857,0.000386857
18,557.08,0.45954,0.86346,0.13018,0.28762,0.88277,0.99043,0.96403,0.98789,0.85707,0.98092,0.93217,0.95282,0.75923,0.56636,1.1738,0.13055,0.28019,0.7688,0.000379786,0.000379786,0.000379786
19,585.486,0.45566,0.84222,0.12853,0.28458,0.87934,0.98035,0.97434,0.98933,0.79324,0.97329,0.93633,0.9535,0.77284,0.78704,1.16397,0.1251,0.34322,0.81819,0.000372714,0.000372714,0.000372714
20,613.878,0.45921,0.84359,0.127,0.28686,0.87844,0.98227,0.96778,0.98686,0.84637,0.96384,0.93834,0.95736,0.77582,0.59381,1.13466,0.12391,0.28726,0.78055,0.000365643,0.000365643,0.000365643
21,642.09,0.44762,0.82717,0.12569,0.27918,0.87533,0.98465,0.963,0.98654,0.84948,0.96835,0.94326,0.958,0.78093,0.59504,1.11909,0.1238,0.28165,0.77582,0.000358571,0.000358571,0.000358571
22,670.511,0.45742,0.84453,0.1297,0.28875,0.88114,0.99155,0.96441,0.98806,0.81655,0.96594,0.93257,0.94612,0.77292,0.66791,1.15261,0.12652,0.30786,0.78929,0.0003515,0.0003515,0.0003515
23,698.902,0.4476,0.80282,0.12767,0.28164,0.87861,0.98658,0.97225,0.99011,0.8434,0.97544,0.93901,0.96139,0.7931,0.64096,1.10612,0.12161,0.29462,0.78299,0.000344429,0.000344429,0.000344429
24,727.099,0.44187,0.83085,0.12436,0.27886,0.87495,0.98259,0.96711,0.98815,0.87478,0.97841,0.92806,0.95671,0.77645,0.52707,1.12471,0.12012,0.26457,0.77198,0.000337357,0.000337357,0.000337357
25,755.585,0.446,0.81248,0.12554,0.27722,0.87525,0.98533,0.96655,0.98679,0.84554,0.97819,0.94245,0.95659,0.77115,0.59778,1.1023,0.12226,0.28126,0.77916,0.000330286,0.000330286,0.000330286
26,784.083,0.44443,0.79826,0.12576,0.27645,0.87714,0.98371,0.97533,0.98924,0.87173,0.97212,0.94758,0.95902,0.78375,0.54265,1.1023,0.12099,0.26782,0.77463,0.000323214,0.000323214,0.000323214
27,812.299,0.43608,0.80175,0.12248,0.27088,0.871,0.99576,0.96496,0.98786,0.8476,0.97659,0.94317,0.95665,0.75723,0.60235,1.15341,0.12465,0.28818,0.77615,0.000316143,0.000316143,0.000316143
28,840.613,0.435,0.78099,0.12323,0.27473,0.86984,0.98965,0.97431,0.98921,0.88381,0.97996,0.93834,0.95689,0.78294,0.51289,1.0804,0.1207,0.26079,0.76198,0.000309071,0.000309071,0.000309071
29,868.971,0.43719,0.80832,0.12537,0.27401,0.87586,0.99116,0.97225,0.98892,0.85859,0.96955,0.94905,0.96019,0.78112,0.58539,1.12744,0.12221,0.28147,0.77798,0.000302,0.000302,0.000302
30,897.148,0.43675,0.7828,0.12427,0.27522,0.87173,0.98958,0.97578,0.99033,0.826,0.97557,0.94389,0.96142,0.78105,0.68844,1.10768,0.12478,0.3077,0.79008,0.000294929,0.000294929,0.000294929
31,925.41,0.43831,0.80926,0.12672,0.27439,0.87139,0.98865,0.97122,0.99098,0.87076,0.97438,0.93811,0.95799,0.79033,0.55463,1.10706,0.12644,0.28222,0.76675,0.000287857,0.000287857,0.000287857
32,953.941,0.42728,0.78434,0.12265,0.26811,0.87255,0.99058,0.97272,0.98983,0.86817,0.97512,0.94039,0.95886,0.7705,0.54107,1.12111,0.12023,0.27058,0.76279,0.000280786,0.000280786,0.000280786
33,982.171,0.42909,0.79166,0.1224,0.27415,0.87398,0.98556,0.97636,0.98991,0.87205,0.97137,0.94144,0.95965,0.78651,0.54858,1.1445,0.12478,0.26956,0.76892,0.000273714,0.000273714,0.000273714
34,1010.4,0.42856,0.76974,0.12315,0.26944,0.8729,0.9947,0.96512,0.98914,0.8658,0.98036,0.94039,0.95963,0.7838,0.56008,1.10213,0.12403,0.27872,0.76776,0.000266643,0.000266643,0.000266643
35,1038.82,0.41965,0.74348,0.12021,0.26423,0.86858,0.98808,0.97431,0.99002,0.86415,0.97837,0.93422,0.95987,0.78296,0.57806,1.10954,0.12528,0.27872,0.77233,0.000259571,0.000259571,0.000259571
36,1067.01,0.41993,0.72898,0.11946,0.26261,0.86779,0.99471,0.9654,0.98913,0.8692,0.97591,0.94347,0.95856,0.79299,0.55316,1.05741,0.1241,0.27526,0.76873,0.0002525,0.0002525,0.0002525
37,1095.27,0.42056,0.74902,0.12317,0.26457,0.867,0.99369,0.97083,0.99028,0.86974,0.97898,0.93731,0.96024,0.78742,0.56102,1.10949,0.12211,0.27372,0.77621,0.000245429,0.000245429,0.000245429
38,1123.48,0.42615,0.74975,0.12345,0.2654,0.87161,0.98584,0.97842,0.99005,0.87595,0.97927,0.9445,0.95995,0.79126,0.5257,1.07518,0.11976,0.2614,0.76776,0.000238357,0.000238357,0.000238357
39,1152.02,0.41922,0.74428,0.12055,0.26101,0.86691,0.9887,0.97225,0.99133,0.87838,0.96347,0.93731,0.95081,0.79486,0.53901,1.09521,0.12264,0.27047,0.76724,0.000231286,0.000231286,0.000231286
40,1180.17,0.41247,0.71884,0.11787,0.2598,0.86113,0.99191,0.96711,0.98975,0.8721,0.97326,0.935,0.95368,0.78685,0.54419,1.11848,0.11947,0.26578,0.76483,0.000224214,0.000224214,0.000224214
41,1208.35,0.41255,0.72819,0.12075,0.26,0.8675,0.98744,0.96941,0.99007,0.87373,0.9675,0.93834,0.958,0.79029,0.53636,1.07742,0.11903,0.26123,0.76231,0.000217143,0.000217143,0.000217143
42,1236.69,0.4089,0.71608,0.11702,0.25692,0.86141,0.98746,0.97101,0.98984,0.86815,0.97291,0.94039,0.96141,0.78969,0.551,1.08229,0.11684,0.26943,0.76478,0.000210071,0.000210071,0.000210071
43,1264.87,0.40296,0.70915,0.11746,0.25128,0.85783,0.99286,0.97328,0.98972,0.86392,0.96491,0.93268,0.93932,0.77754,0.55301,1.15529,0.12275,0.27097,0.76712,0.000203,0.000203,0.000203
44,1293.09,0.41078,0.71844,0.11732,0.25534,0.86465,0.98978,0.96711,0.98959,0.8784,0.9757,0.94039,0.95643,0.79749,0.52359,1.06633,0.1267,0.26809,0.76359,0.000195929,0.000195929,0.000195929
45,1321.48,0.40824,0.72342,0.12138,0.25441,0.86335,0.99141,0.96506,0.98916,0.8698,0.97391,0.93936,0.95722,0.79989,0.54486,1.06035,0.12389,0.26708,0.76875,0.000188857,0.000188857,0.000188857
46,1349.61,0.40979,0.70375,0.11888,0.25918,0.86492,0.99366,0.96688,0.98865,0.88058,0.97592,0.94142,0.96014,0.79683,0.50982,1.04928,0.11905,0.25226,0.75905,0.000181786,0.000181786,0.000181786
47,1377.83,0.40347,0.70861,0.11633,0.25448,0.8642,0.985,0.97636,0.99138,0.87319,0.97131,0.9395,0.95414,0.79277,0.54138,1.09177,0.12148,0.26046,0.76481,0.000174714,0.000174714,0.000174714
48,1406.08,0.40319,0.70642,0.1184,0.25279,0.8646,0.98241,0.96917,0.98945,0.893,0.97342,0.9332,0.95522,0.79402,0.48838,1.08062,0.12036,0.24654,0.75825,0.000167643,0.000167643,0.000167643
49,1434.52,0.4015,0.70175,0.11629,0.25472,0.86283,0.98228,0.97636,0.98907,0.88076,0.97647,0.93819,0.9617,0.8067,0.50426,1.02895,0.1213,0.24738,0.7581,0.000160571,0.000160571,0.000160571
50,1462.7,0.40155,0.68669,0.11547,0.25117,0.86311,0.99238,0.96917,0.98959,0.8769,0.97779,0.93731,0.95785,0.79934,0.52963,1.05023,0.11893,0.25957,0.76111,0.0001535,0.0001535,0.0001535
51,1491.03,0.39533,0.68353,0.11512,0.2497,0.86045,0.98446,0.97649,0.98958,0.87156,0.98284,0.94192,0.96389,0.80423,0.53779,1.0208,0.11944,0.25922,0.76173,0.000146429,0.000146429,0.000146429
52,1519.46,0.39819,0.67488,0.11476,0.24911,0.86221,0.98685,0.97225,0.98959,0.8831,0.9783,0.9517,0.96483,0.81285,0.50365,1.0148,0.119,0.24933,0.75754,0.000139357,0.000139357,0.000139357
53,1547.79,0.39215,0.68394,0.11626,0.24817,0.86185,0.98639,0.9685,0.98905,0.87315,0.9818,0.94269,0.96418,0.81674,0.54189,0.99891,0.11704,0.26216,0.76299,0.000132286,0.000132286,0.000132286
54,1576.07,0.39003,0.6668,0.11388,0.24421,0.85967,0.99088,0.96608,0.98958,0.88757,0.97754,0.93939,0.96,0.80318,0.49491,1.03371,0.11967,0.24438,0.75584,0.000125214,0.000125214,0.000125214
55,1604.52,0.38701,0.66409,0.11522,0.24402,0.85777,0.99093,0.96608,0.9904,0.88179,0.97924,0.94553,0.9675,0.80961,0.53743,1.03137,0.11865,0.25669,0.76313,0.000118143,0.000118143,0.000118143
56,1638.26,0.38938,0.66917,0.11399,0.24525,0.86086,0.99054,0.96827,0.99039,0.87856,0.98028,0.94245,0.96432,0.81209,0.52752,1.04222,0.12071,0.25413,0.76288,0.000111071,0.000111071,0.000111071
57,1671.7,0.38161,0.65183,0.11356,0.2425,0.858,0.98847,0.96922,0.99054,0.88175,0.97607,0.94347,0.964,0.81321,0.52538,1.03471,0.11886,0.25206,0.76066,0.000104,0.000104,0.000104
58,1705,0.37563,0.63286,0.11206,0.23796,0.85499,0.9889,0.9702,0.99185,0.8827,0.97757,0.94061,0.96556,0.81962,0.5305,1.01976,0.12052,0.25309,0.76028,9.69286e-05,9.69286e-05,9.69286e-05
59,1738.11,0.38274,0.6552,0.11145,0.2434,0.85901,0.99155,0.96528,0.99144,0.88522,0.98048,0.94142,0.96511,0.81019,0.52097,1.02743,0.11952,0.24773,0.75944,8.98571e-05,8.98571e-05,8.98571e-05
60,1771.1,0.38442,0.64574,0.11248,0.24136,0.85464,0.99,0.9702,0.99046,0.88691,0.97898,0.94656,0.9665,0.81443,0.51809,1.02135,0.1215,0.25035,0.76,8.27857e-05,8.27857e-05,8.27857e-05
61,1822.1,0.31775,0.44474,0.09313,0.19704,0.81714,0.99054,0.96868,0.99058,0.88757,0.97822,0.94142,0.9642,0.81631,0.51743,1.02062,0.11857,0.24804,0.75913,7.57143e-05,7.57143e-05,7.57143e-05
62,1858.18,0.31431,0.43307,0.0939,0.19489,0.81384,0.98341,0.97457,0.99108,0.89368,0.97647,0.93828,0.96373,0.81882,0.50422,1.01876,0.12058,0.24575,0.75817,6.86429e-05,6.86429e-05,6.86429e-05
63,1893.81,0.31328,0.42977,0.09265,0.19329,0.8162,0.98546,0.97521,0.9908,0.88496,0.97615,0.94553,0.96816,0.82156,0.53313,1.00254,0.12044,0.25367,0.76302,6.15714e-05,6.15714e-05,6.15714e-05
64,1929.45,0.30788,0.42254,0.09136,0.19116,0.81166,0.9843,0.97431,0.99094,0.88457,0.9776,0.94207,0.96763,0.82311,0.53363,1.0006,0.11729,0.24993,0.76191,5.45e-05,5.45e-05,5.45e-05
65,1960.82,0.30815,0.41557,0.09149,0.19151,0.81267,0.98236,0.9728,0.99117,0.87942,0.97868,0.94344,0.96849,0.82068,0.54858,1.00857,0.11859,0.25659,0.76588,4.74286e-05,4.74286e-05,4.74286e-05
66,1990.17,0.30504,0.41762,0.09212,0.18956,0.81355,0.98948,0.96669,0.99081,0.88846,0.97661,0.94142,0.96669,0.82044,0.52248,1.00622,0.11846,0.25076,0.75962,4.03571e-05,4.03571e-05,4.03571e-05
67,2019.4,0.30305,0.4119,0.09103,0.19038,0.81192,0.98237,0.97332,0.99077,0.87982,0.97504,0.94347,0.96695,0.82025,0.54462,1.00688,0.11891,0.25526,0.76384,3.32857e-05,3.32857e-05,3.32857e-05
68,2048.75,0.30208,0.40904,0.0901,0.18958,0.81257,0.98644,0.97197,0.99096,0.87721,0.97761,0.94235,0.96791,0.82299,0.54381,1.00425,0.11786,0.2537,0.76378,2.62143e-05,2.62143e-05,2.62143e-05
69,2077.91,0.29809,0.4076,0.08912,0.18809,0.81205,0.98821,0.97431,0.991,0.88641,0.97293,0.94964,0.96832,0.82111,0.52435,1.00426,0.11708,0.24724,0.76029,1.91429e-05,1.91429e-05,1.91429e-05
70,2107.12,0.29664,0.40357,0.09004,0.18634,0.81201,0.98629,0.97533,0.99118,0.88642,0.97763,0.94142,0.96719,0.8212,0.52694,1.0032,0.11715,0.24813,0.76059,1.20714e-05,1.20714e-05,1.20714e-05
