epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6784,0.47975,1.07761,0.12948,0.29657,0.88585,0.9785,0.96197,0.98489,0.79961,0.97567,0.92909,0.9555,0.74157,0.7423,1.22825,0.13715,0.33929,0.82491,0.000166076,0.000166076,0.0669509
2,77.0009,0.46481,0.96641,0.13073,0.28901,0.87934,0.98583,0.97533,0.98895,0.84808,0.97231,0.93814,0.94867,0.73301,0.58576,1.25672,0.13133,0.29779,0.78452,0.000328036,0.000328036,0.0337796
3,105.785,0.48579,0.95491,0.13247,0.30253,0.88981,0.98844,0.96635,0.98834,0.85537,0.97956,0.93567,0.96101,0.7545,0.58107,1.23552,0.12244,0.29632,0.78045,0.000485283,0.000485283,0.000603486
4,134.207,0.49545,0.96211,0.13414,0.31153,0.8957,0.98827,0.97842,0.99181,0.87489,0.97323,0.9332,0.95053,0.74356,0.50298,1.24973,0.12608,0.28808,0.7663,0.000478786,0.000478786,0.000478786
5,166.258,0.49348,0.9911,0.13742,0.30853,0.89479,0.98329,0.96759,0.98718,0.85749,0.97528,0.93265,0.95777,0.76525,0.5857,1.16806,0.12835,0.2929,0.77652,0.000471714,0.000471714,0.000471714
6,199.688,0.48637,0.97294,0.13652,0.30654,0.89374,0.98641,0.96962,0.99008,0.84044,0.97977,0.94245,0.96078,0.74319,0.62467,1.20356,0.12274,0.29589,0.78812,0.000464643,0.000464643,0.000464643
7,232.597,0.48585,0.99601,0.13787,0.30414,0.89109,0.98842,0.96527,0.98902,0.86712,0.96807,0.93472,0.954,0.76731,0.54736,1.23903,0.13334,0.28827,0.77298,0.000457571,0.000457571,0.000457571
8,265.279,0.48593,0.96592,0.13505,0.30668,0.8885,0.98845,0.96917,0.98829,0.83486,0.9698,0.93834,0.95737,0.76584,0.63288,1.22531,0.12917,0.30993,0.78248,0.0004505,0.0004505,0.0004505
9,298.433,0.47835,0.93368,0.13147,0.29951,0.88688,0.98337,0.97221,0.98892,0.86261,0.97447,0.94162,0.96285,0.77819,0.57724,1.17392,0.12583,0.29995,0.77772,0.000443429,0.000443429,0.000443429
10,330.573,0.46953,0.90442,0.13151,0.2948,0.88572,0.99156,0.96711,0.98779,0.80273,0.97739,0.93317,0.95146,0.75299,0.746,1.2146,0.13061,0.3206,0.80529,0.000436357,0.000436357,0.000436357
11,358.979,0.47558,0.91565,0.1306,0.29928,0.8863,0.98431,0.96697,0.98848,0.88758,0.97549,0.94091,0.9598,0.75931,0.4821,1.19021,0.12425,0.27471,0.76009,0.000429286,0.000429286,0.000429286
