epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,11163.2,1.03828,3.75273,0.33272,0.89476,1.20072,0.837,0.77424,0.86895,0.65324,0.80176,0.70421,0.7549,0.45174,0.893,2.73708,0.31142,0.77215,1.0903,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,11672.6,1.03336,3.72341,0.33274,0.88816,1.1966,0.83687,0.77582,0.86964,0.65399,0.80541,0.70373,0.75588,0.45294,0.89153,2.72758,0.31096,0.76891,1.08935,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,12180.1,1.03194,3.72285,0.33176,0.88829,1.19509,0.84092,0.77503,0.86973,0.65452,0.80469,0.70324,0.75564,0.4537,0.89024,2.71818,0.31034,0.76702,1.0881,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,12686.9,1.02835,3.6829,0.32896,0.88336,1.19403,0.84248,0.77519,0.87016,0.65589,0.80827,0.70149,0.75768,0.45506,0.88841,2.70703,0.30964,0.76431,1.08655,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,13194.4,1.02194,3.66849,0.32882,0.87676,1.19012,0.83913,0.77603,0.87075,0.65619,0.8127,0.70277,0.75873,0.45675,0.88684,2.70037,0.30904,0.76115,1.08517,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,13702,1.01954,3.64109,0.32724,0.87117,1.18876,0.83956,0.77802,0.87133,0.65698,0.81577,0.70041,0.75871,0.45805,0.88512,2.68986,0.30843,0.75834,1.08382,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,14210.4,1.01552,3.61585,0.32656,0.87024,1.18822,0.83645,0.77858,0.87161,0.65696,0.81781,0.69789,0.75932,0.45901,0.88339,2.68253,0.30783,0.75632,1.08237,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,14719.1,1.01539,3.6204,0.32544,0.86622,1.18607,0.83254,0.78369,0.87207,0.65795,0.81703,0.69994,0.75967,0.46046,0.8822,2.67561,0.3073,0.75439,1.08083,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,15228.7,1.00917,3.5925,0.32435,0.86579,1.1818,0.83536,0.78401,0.87273,0.65859,0.81474,0.70104,0.75994,0.46192,0.88031,2.66751,0.30659,0.75213,1.0795,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,15739.7,1.00595,3.56464,0.32366,0.85853,1.17968,0.83522,0.782,0.87314,0.65999,0.81341,0.70198,0.75966,0.46283,0.87887,2.6615,0.30601,0.75072,1.07848,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
