epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,977.226,0.39342,0.67704,0.11073,0.24722,0.85558,0.98708,0.96814,0.99072,0.87299,0.97353,0.94142,0.96003,0.7871,0.53181,1.09482,0.12493,0.2545,0.76214,0.0002426,0.0002426,0.0002426
28,1012.36,0.39273,0.68187,0.11291,0.25073,0.85532,0.99265,0.97183,0.99323,0.90583,0.97623,0.93628,0.95847,0.79974,0.44697,1.07233,0.1248,0.23656,0.75069,0.0002327,0.0002327,0.0002327
29,1047.53,0.39245,0.69522,0.11448,0.25057,0.85991,0.98637,0.97533,0.98914,0.87588,0.97184,0.93525,0.95442,0.78324,0.52213,1.11994,0.12759,0.25947,0.76475,0.0002228,0.0002228,0.0002228
30,1082.66,0.39091,0.69156,0.11383,0.25154,0.85711,0.99261,0.96681,0.99261,0.85965,0.97959,0.9374,0.96144,0.7963,0.58196,1.09224,0.12567,0.2691,0.77394,0.0002129,0.0002129,0.0002129
31,1117.49,0.39068,0.68903,0.11539,0.24957,0.85587,0.98641,0.96985,0.98916,0.87065,0.97322,0.93834,0.96188,0.80581,0.54567,1.07112,0.12345,0.26213,0.765,0.000203,0.000203,0.000203
32,1152.6,0.38464,0.67883,0.11327,0.24328,0.85728,0.98646,0.97366,0.99102,0.87137,0.9744,0.93869,0.96179,0.80101,0.55515,1.06967,0.12156,0.25672,0.76306,0.0001931,0.0001931,0.0001931
33,1187.88,0.38944,0.67706,0.11248,0.25035,0.8601,0.98343,0.97599,0.99105,0.88814,0.97802,0.93834,0.96548,0.81196,0.51418,1.04442,0.12058,0.25074,0.76234,0.0001832,0.0001832,0.0001832
34,1222.78,0.38551,0.66543,0.1122,0.24613,0.85833,0.98688,0.97122,0.98978,0.87173,0.98178,0.94122,0.96552,0.80078,0.55124,1.04707,0.12016,0.27098,0.76801,0.0001733,0.0001733,0.0001733
35,1258.02,0.37542,0.63449,0.10956,0.24093,0.85391,0.98951,0.96982,0.99149,0.87516,0.97551,0.94147,0.96348,0.80712,0.54534,1.0387,0.12559,0.26167,0.76634,0.0001634,0.0001634,0.0001634
36,1293.64,0.37393,0.62592,0.10891,0.23801,0.85216,0.98522,0.97636,0.99113,0.88169,0.97551,0.94153,0.96446,0.8101,0.52595,1.05402,0.12562,0.2593,0.76333,0.0001535,0.0001535,0.0001535
37,1326.86,0.37847,0.64668,0.11243,0.24224,0.85227,0.98559,0.97225,0.99195,0.86556,0.98309,0.93731,0.96581,0.80844,0.58256,1.06994,0.12323,0.27557,0.7745,0.0001436,0.0001436,0.0001436
38,1359.56,0.37912,0.64002,0.11251,0.2406,0.85697,0.98545,0.97439,0.99117,0.87674,0.97782,0.93525,0.96415,0.81613,0.54447,1.04162,0.12093,0.26313,0.76659,0.0001337,0.0001337,0.0001337
39,1392.26,0.37574,0.63825,0.10951,0.23735,0.853,0.98642,0.97047,0.992,0.88728,0.98207,0.93525,0.96679,0.81422,0.52139,1.0593,0.12517,0.25993,0.76649,0.0001238,0.0001238,0.0001238
40,1425.37,0.36768,0.6103,0.10783,0.23313,0.84748,0.98953,0.97108,0.99191,0.8829,0.97151,0.94611,0.96694,0.81933,0.52517,1.04371,0.12265,0.25432,0.76903,0.0001139,0.0001139,0.0001139
41,1472.85,0.3059,0.43137,0.09091,0.19269,0.81074,0.9875,0.97432,0.99133,0.8774,0.98055,0.93936,0.96412,0.80308,0.52103,1.06948,0.12442,0.25866,0.76969,0.000104,0.000104,0.000104
42,1505.49,0.30125,0.41809,0.08833,0.18984,0.80833,0.98438,0.97166,0.9899,0.88622,0.98171,0.93801,0.9638,0.8097,0.50514,1.05425,0.12244,0.256,0.76271,9.41e-05,9.41e-05,9.41e-05
43,1538.31,0.3017,0.41991,0.08884,0.18915,0.81022,0.98389,0.97122,0.99181,0.88749,0.97916,0.93936,0.96642,0.82073,0.51502,1.03016,0.12016,0.25778,0.76217,8.42e-05,8.42e-05,8.42e-05
44,1570.74,0.29795,0.4171,0.08786,0.18718,0.81261,0.98545,0.97424,0.9916,0.88794,0.98116,0.93525,0.96378,0.81554,0.51298,1.03965,0.12322,0.24995,0.76332,7.43e-05,7.43e-05,7.43e-05
45,1603.6,0.29567,0.40489,0.08743,0.18575,0.8092,0.99138,0.96917,0.99085,0.8813,0.98128,0.94039,0.96631,0.82044,0.53775,1.02625,0.12033,0.25421,0.77062,6.44e-05,6.44e-05,6.44e-05
46,1636.58,0.29603,0.40236,0.08639,0.18603,0.80875,0.98648,0.97487,0.99162,0.88654,0.9762,0.93731,0.96491,0.82159,0.52423,1.01957,0.12046,0.25091,0.76645,5.45e-05,5.45e-05,5.45e-05
47,1669.38,0.29255,0.40763,0.08736,0.18405,0.81051,0.98761,0.9702,0.9909,0.8823,0.97564,0.93525,0.96492,0.82263,0.53494,1.02677,0.11988,0.25477,0.76599,4.46e-05,4.46e-05,4.46e-05
48,1701.84,0.29042,0.39188,0.08566,0.18198,0.81087,0.98874,0.97431,0.99189,0.88833,0.97528,0.93936,0.96476,0.82476,0.52018,1.01536,0.1214,0.25174,0.7644,3.47e-05,3.47e-05,3.47e-05
49,1734.63,0.28765,0.38642,0.08581,0.18167,0.80645,0.98854,0.975,0.9917,0.88547,0.98061,0.93557,0.96606,0.82575,0.52955,1.01044,0.12176,0.25329,0.76634,2.48e-05,2.48e-05,2.48e-05
50,1767.09,0.28786,0.38747,0.08458,0.18124,0.80424,0.98853,0.97403,0.99156,0.88755,0.97954,0.93484,0.96557,0.82652,0.52744,1.01316,0.12091,0.25215,0.76495,1.49e-05,1.49e-05,1.49e-05
