epoch,lr,train_window_loss,train_window_acc,train_window_f1_macro,val_window_loss,val_window_acc,val_window_f1_macro,val_clip_acc,val_clip_f1_macro
1,0.001,1.49637897319892,0.45751633986928103,0.3987513880417278,1.1158884307823953,0.5778459077579312,0.5197742497988215,0.48567921440261863,0.3889035164518599
2,0.001,1.0979910119456284,0.586795658057643,0.5268332861702381,0.9833126861519637,0.6223673687016795,0.5475518841439182,0.45867430441898527,0.377458058797308
3,0.001,0.9651603354910984,0.628199591143359,0.560280324431596,0.8549704757635512,0.6542255398560384,0.6050147333179993,0.5450081833060556,0.4421273207998094
4,0.001,0.8588330739124053,0.6593245227606461,0.6004142915814861,0.8148281731563579,0.6587576646227673,0.6176814505335848,0.5679214402618658,0.48898981256356916
5,0.001,0.7872674294093467,0.686792778785523,0.6328068566881875,0.8597832108872377,0.6576912823247134,0.6437373979404469,0.5986088379705401,0.5423583726674919
6,0.001,0.7353710775216654,0.7036941061299703,0.6534115568805048,0.782602888565005,0.6675553185817116,0.6201294175037997,0.6031096563011457,0.49586215047749543
7,0.001,0.6728840530843692,0.7233595347096254,0.6751709057147189,0.7590410784105401,0.693148493735004,0.6932552525042499,0.6959901800327333,0.6067516880279064
8,0.001,0.6397824226370031,0.7355388557772595,0.6998388521337721,0.7818511309893218,0.6995467875233271,0.6903858228847428,0.6898527004909983,0.5885895044886502
9,0.001,0.6081392615943455,0.7477181768448936,0.7094807007117855,0.7397674191589197,0.7352705945081311,0.7072103778989868,0.7009001636661211,0.6034672540349287
10,0.001,0.570343395031304,0.7549163571449138,0.7197914701030749,0.6912976194861348,0.7284724073580379,0.6927554516455688,0.7283142389525368,0.6123952654600121
11,0.001,0.5429558753769924,0.7629207336385362,0.7384144802610985,0.7037895864103674,0.7246067715275927,0.7363797381263331,0.733633387888707,0.6526601084890291
12,0.001,0.5289528990088083,0.7704644265929573,0.7419543718892174,0.6816093962499536,0.7259397494001599,0.7191567394651203,0.7176759410801964,0.6326943597642952
13,0.001,0.5033439549693812,0.7780944977109787,0.753027332915577,0.6953426343469549,0.7431351639562783,0.7140872631819357,0.705810147299509,0.6182733218693444
14,0.001,0.49273720361419576,0.7850911289625983,0.7585545451829628,0.7263467049271353,0.7535323913623034,0.7615058122338124,0.7450900163666121,0.6618492602585749
15,0.001,0.47141843075429585,0.7864155941378019,0.7650559842921514,0.6994963760130948,0.7434017595307918,0.7509989393440882,0.7397708674304418,0.6553742420982712
16,0.001,0.4570470541610077,0.7933258472258213,0.7788033983307128,0.8545783683796686,0.7304718741668889,0.7235999232630106,0.7454991816693944,0.6347869216678688
17,0.001,0.43390480781630525,0.7994299041202384,0.7839016010908836,0.8334165476530719,0.7270061316982138,0.7505271925296654,0.7598199672667758,0.6709413617862413
18,0.001,0.4266666084659257,0.8074054878926608,0.7986491674827442,0.7403944192155778,0.7535323913623034,0.7502356648474222,0.7467266775777414,0.6733150098147729
19,0.001,0.4145510706768787,0.8092770147706659,0.7935278536258751,0.7424563943219483,0.7563316448946947,0.7312274860157858,0.7573649754500819,0.6439499776289236
20,0.001,0.3998304026444904,0.8139702283262791,0.8064035015899037,0.7739439880020045,0.7446014396161024,0.7124452406953412,0.7409983633387889,0.6307901213339259
21,0.001,0.39108718321959135,0.8186058564394921,0.8082826126438812,0.8139487335925673,0.7572647294054918,0.7318737218233476,0.7516366612111293,0.6691636231346504
22,0.0005,0.37298330899493926,0.8239900953039072,0.8174055782003739,0.7978099284808307,0.7496667555318581,0.7409112376902012,0.7622749590834698,0.6577737736916399
23,0.0005,0.2889711160682238,0.8528116092251878,0.8620256014054177,0.8099203412610987,0.7612636630231938,0.7686724931901746,0.7729132569558101,0.7023406819575114
24,0.0005,0.2724153433542221,0.862860268924016,0.8656296468902736,0.9250997336458696,0.7310050653159158,0.7153771087794144,0.7712765957446809,0.6659762865271848
25,0.0005,0.25810662517003646,0.8682445077884311,0.8715573295380631,0.8668561374956816,0.7470007997867235,0.7279658368729246,0.7761865793780688,0.6736410245386933
26,0.0005,0.24436550564998094,0.8750395899916501,0.8803477516844961,0.9650212415645231,0.7398027192748601,0.7490949472445757,0.7610474631751227,0.6821352178760015
27,0.00025,0.23982900519112027,0.8785235092568598,0.885887823723305,0.9372120489441087,0.74673420421221,0.7468433621160167,0.7688216039279869,0.6900302582138884
28,0.00025,0.19934241012859014,0.8972387780369123,0.904069318675623,0.9755190550025639,0.7378032524660091,0.7374121700038607,0.7692307692307693,0.6879824111609708
29,0.00025,0.18798764831297773,0.9029973222769284,0.908215944797862,1.0298819391787355,0.7420687816582244,0.7364590711629787,0.779050736497545,0.7005941546711342
30,0.00025,0.17919835154455074,0.9059917652817367,0.9131683366931157,1.080057655361073,0.7256731538256465,0.7257355524081387,0.7831423895253683,0.686114935959355
31,0.000125,0.16490158622313808,0.9108289424433503,0.9166570625630917,1.0973675923803843,0.7406025059984004,0.714850145110544,0.765139116202946,0.6637925825190736
32,0.000125,0.14510697559005328,0.9219429328265815,0.9268673711123115,1.1221549080883906,0.7387363369768062,0.7336028483521015,0.7749590834697218,0.6925009713666369
33,0.000125,0.14085341897534856,0.9245342777345887,0.9305499449658455,1.2020562079644972,0.73287123433751,0.7274871995648059,0.7741407528641571,0.6720568064888306
